logg,Teff,Z,xi,a,b,Filt,Met,Mod
3.50,4000.,0.0,2.0,0.7984,-0.0244,C,F,qs
4.00,4000.,0.0,2.0,0.6793,0.0520,C,F,qs
4.50,4000.,0.0,2.0,0.5233,0.1567,C,F,qs
5.00,4000.,0.0,2.0,0.3950,0.2285,C,F,qs
5.50,4000.,0.0,2.0,0.3217,0.2610,C,F,qs
2.50,4100.,0.0,2.0,0.6277,0.3811,C,F,qs
3.00,4100.,0.0,2.0,0.6643,0.2602,C,F,qs
3.50,4100.,0.0,2.0,0.7808,-0.0079,C,F,qs
4.00,4100.,0.0,2.0,0.7191,0.0224,C,F,qs
4.50,4100.,0.0,2.0,0.5840,0.1130,C,F,qs
5.00,4100.,0.0,2.0,0.4404,0.1963,C,F,qs
5.50,4100.,0.0,2.0,0.3438,0.2448,C,F,qs
2.50,4200.,0.0,2.0,0.6042,0.4047,C,F,qs
3.00,4200.,0.0,2.0,0.6308,0.3005,C,F,qs
3.50,4200.,0.0,2.0,0.7597,0.0075,C,F,qs
4.00,4200.,0.0,2.0,0.7486,0.0001,C,F,qs
4.50,4200.,0.0,2.0,0.6352,0.0689,C,F,qs
5.00,4200.,0.0,2.0,0.4940,0.1570,C,F,qs
5.50,4200.,0.0,2.0,0.3762,0.2159,C,F,qs
2.50,4300.,0.0,2.0,0.5841,0.4253,C,F,qs
3.00,4300.,0.0,2.0,0.6060,0.3286,C,F,qs
3.50,4300.,0.0,2.0,0.7405,0.0207,C,F,qs
4.00,4300.,0.0,2.0,0.7459,-0.0037,C,F,qs
4.50,4300.,0.0,2.0,0.6797,0.0378,C,F,qs
5.00,4300.,0.0,2.0,0.5553,0.1193,C,F,qs
5.50,4300.,0.0,2.0,0.4258,0.1931,C,F,qs
2.50,4400.,0.0,2.0,0.5661,0.4439,C,F,qs
3.00,4400.,0.0,2.0,0.5855,0.3509,C,F,qs
3.50,4400.,0.0,2.0,0.7254,0.0317,C,F,qs
4.00,4400.,0.0,2.0,0.7324,0.0039,C,F,qs
4.50,4400.,0.0,2.0,0.7141,0.0131,C,F,qs
5.00,4400.,0.0,2.0,0.6098,0.0803,C,F,qs
5.50,4400.,0.0,2.0,0.4803,0.1549,C,F,qs
2.50,4500.,0.0,2.0,0.5489,0.4615,C,F,qs
3.00,4500.,0.0,2.0,0.5639,0.3745,C,F,qs
3.50,4500.,0.0,2.0,0.7103,0.0427,C,F,qs
4.00,4500.,0.0,2.0,0.7163,0.0162,C,F,qs
4.50,4500.,0.0,2.0,0.7124,0.0080,C,F,qs
5.00,4500.,0.0,2.0,0.6548,0.0526,C,F,qs
5.50,4500.,0.0,2.0,0.5362,0.1237,C,F,qs
2.50,4800.,0.0,2.0,0.4935,0.5219,C,F,qs
3.00,4800.,0.0,2.0,0.5053,0.4379,C,F,qs
3.50,4800.,0.0,2.0,0.6645,0.0776,C,F,qs
4.00,4800.,0.0,2.0,0.6724,0.0477,C,F,qs
4.50,4800.,0.0,2.0,0.6686,0.0389,C,F,qs
5.00,4800.,0.0,2.0,0.6741,0.0275,C,F,qs
5.50,4800.,0.0,2.0,0.6356,0.0574,C,F,qs
