logg,Teff,Z,xi,a,b,Filt,Met,Mod
2.50,3900.,0.0,2.0,0.3760,0.6028,I,F,qs
3.00,3900.,0.0,2.0,0.4311,0.4294,I,F,qs
3.50,3900.,0.0,2.0,0.5481,0.1261,I,F,qs
4.00,3900.,0.0,2.0,0.4292,0.1898,I,F,qs
4.50,3900.,0.0,2.0,0.3234,0.2412,I,F,qs
5.00,3900.,0.0,2.0,0.2532,0.2651,I,F,qs
5.50,3900.,0.0,2.0,0.2146,0.2706,I,F,qs
3.00,4000.,0.0,2.0,0.4080,0.4673,I,F,qs
3.50,4000.,0.0,2.0,0.5656,0.1046,I,F,qs
4.00,4000.,0.0,2.0,0.4743,0.1556,I,F,qs
4.50,4000.,0.0,2.0,0.3645,0.2114,I,F,qs
5.00,4000.,0.0,2.0,0.2785,0.2427,I,F,qs
5.50,4000.,0.0,2.0,0.2272,0.2582,I,F,qs
2.50,4100.,0.0,2.0,0.3512,0.6315,I,F,qs
3.00,4100.,0.0,2.0,0.3890,0.4930,I,F,qs
3.50,4100.,0.0,2.0,0.5610,0.1057,I,F,qs
4.00,4100.,0.0,2.0,0.5131,0.1261,I,F,qs
4.50,4100.,0.0,2.0,0.4138,0.1811,I,F,qs
5.00,4100.,0.0,2.0,0.3156,0.2220,I,F,qs
5.50,4100.,0.0,2.0,0.2472,0.2461,I,F,qs
2.50,4200.,0.0,2.0,0.3356,0.6478,I,F,qs
3.00,4200.,0.0,2.0,0.3697,0.5182,I,F,qs
3.50,4200.,0.0,2.0,0.5517,0.1112,I,F,qs
4.00,4200.,0.0,2.0,0.5438,0.1014,I,F,qs
4.50,4200.,0.0,2.0,0.4586,0.1455,I,F,qs
5.00,4200.,0.0,2.0,0.3582,0.1955,I,F,qs
5.50,4200.,0.0,2.0,0.2752,0.2274,I,F,qs
2.50,4300.,0.0,2.0,0.3181,0.6660,I,F,qs
3.00,4300.,0.0,2.0,0.3518,0.5388,I,F,qs
3.50,4300.,0.0,2.0,0.5404,0.1184,I,F,qs
4.00,4300.,0.0,2.0,0.5455,0.0934,I,F,qs
4.50,4300.,0.0,2.0,0.4962,0.1207,I,F,qs
5.00,4300.,0.0,2.0,0.4040,0.1725,I,F,qs
5.50,4300.,0.0,2.0,0.3112,0.2139,I,F,qs
2.50,4400.,0.0,2.0,0.3004,0.6841,I,F,qs
3.00,4400.,0.0,2.0,0.3337,0.5580,I,F,qs
3.50,4400.,0.0,2.0,0.5290,0.1262,I,F,qs
4.00,4400.,0.0,2.0,0.5353,0.0984,I,F,qs
4.50,4400.,0.0,2.0,0.5272,0.0980,I,F,qs
5.00,4400.,0.0,2.0,0.4470,0.1448,I,F,qs
5.50,4400.,0.0,2.0,0.3525,0.1890,I,F,qs
2.50,4500.,0.0,2.0,0.2827,0.7018,I,F,qs
3.00,4500.,0.0,2.0,0.3157,0.5773,I,F,qs
3.50,4500.,0.0,2.0,0.5160,0.1343,I,F,qs
4.00,4500.,0.0,2.0,0.5232,0.1061,I,F,qs
4.50,4500.,0.0,2.0,0.5274,0.0902,I,F,qs
5.00,4500.,0.0,2.0,0.4840,0.1233,I,F,qs
5.50,4500.,0.0,2.0,0.3934,0.1704,I,F,qs
2.50,4800.,0.0,2.0,0.2270,0.7610,I,F,qs
3.00,4800.,0.0,2.0,0.2561,0.6417,I,F,qs
3.50,4800.,0.0,2.0,0.4752,0.1585,I,F,qs
4.00,4800.,0.0,2.0,0.4852,0.1268,I,F,qs
4.50,4800.,0.0,2.0,0.4909,0.1089,I,F,qs
5.00,4800.,0.0,2.0,0.5001,0.0955,I,F,qs
5.50,4800.,0.0,2.0,0.4760,0.1148,I,F,qs
