MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.707,0.42813323987193935,90.0,4.218143524218916,1.6477753607879944,2.5703681634309214,1
0.707,0.5455594781168519,0.0,-0.0,-0.0,0.0,0
0.707,0.5455594781168519,5.0,0.16301132825464432,0.16301132825464432,0.0,0
0.707,0.5455594781168519,10.0,0.3235204457828095,0.3235204457828095,0.0,0
0.707,0.5455594781168519,15.0,0.4803272203516339,0.4803272203516339,0.0,0
0.707,0.5455594781168519,20.0,0.6308912708616389,0.6308912708616389,0.0,0
0.707,0.5455594781168519,25.0,0.7734195650369695,0.7734195650369695,0.0,0
0.707,0.5455594781168519,30.0,0.9058098025907629,0.9058098025907629,0.0,0
0.707,0.5455594781168519,35.0,1.0267002126884386,1.0267002126884386,0.0,0
0.707,0.5455594781168519,40.0,1.1355301999658363,1.1355301999658363,0.0,0
0.707,0.5455594781168519,45.0,1.23033285621703,1.23033285621703,0.0,0
0.707,0.5455594781168519,50.0,1.3117272834091236,1.3117272834091236,0.0,0
0.707,0.5455594781168519,55.0,1.3797427693156326,1.3797427693156326,0.0,0
0.707,0.5455594781168519,60.0,1.4350945519856104,1.4350945519856104,0.0,0
0.707,0.5455594781168519,65.0,1.4784067284887552,1.4784067284887552,0.0,0
0.707,0.5455594781168519,70.0,1.5114642529176223,1.5114642529176223,0.0,0
0.707,0.5455594781168519,75.0,1.622276237446555,1.5351365855352994,0.0871396519112555,1
0.707,0.5455594781168519,80.0,4.136463028769185,1.5513995572368309,2.5850634715323544,1
0.707,0.5455594781168519,85.0,4.127737326941161,1.5609655468856491,2.566771780055512,1
0.707,0.5455594781168519,90.0,4.126979383183292,1.564398656853387,2.5625807263299047,1
0.707,0.6951927961775606,0.0,-0.0,-0.0,0.0,0
0.707,0.6951927961775606,5.0,0.1519483052371527,0.1519483052371527,0.0,0
0.707,0.6951927961775606,10.0,0.301815283566677,0.301815283566677,0.0,0
0.707,0.6951927961775606,15.0,0.44810196957849147,0.44810196957849147,0.0,0
0.707,0.6951927961775606,20.0,0.5887701005375151,0.5887701005375151,0.0,0
0.707,0.6951927961775606,25.0,0.7219528892024445,0.7219528892024445,0.0,0
0.707,0.6951927961775606,30.0,0.8460907725844369,0.8460907725844369,0.0,0
