MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.707,3.79269019073225,55.0,0.6762561091665152,0.6762561091665152,0.0,0
0.707,3.79269019073225,60.0,0.7074475695933523,0.7074475695933523,0.0,0
0.707,3.79269019073225,65.0,0.7328858564294951,0.7328858564294951,0.0,0
0.707,3.79269019073225,70.0,0.7533409954538723,0.7533409954538723,0.0,0
0.707,3.79269019073225,75.0,0.7684195744827147,0.7684195744827147,0.0,0
0.707,3.79269019073225,80.0,0.7788689293014777,0.7788689293014777,0.0,0
0.707,3.79269019073225,85.0,0.7849237517050054,0.7849237517050054,0.0,0
0.707,3.79269019073225,90.0,3.3532950661392342,0.7871532508963148,2.5661418152429194,1
0.707,4.832930238571752,0.0,-0.0,-0.0,0.0,0
0.707,4.832930238571752,5.0,0.06796502940192219,0.06796502940192219,0.0,0
0.707,4.832930238571752,10.0,0.13507324039662466,0.13507324039662466,0.0,0
0.707,4.832930238571752,15.0,0.2005446823103792,0.2005446823103792,0.0,0
0.707,4.832930238571752,20.0,0.2639951539877177,0.2639951539877177,0.0,0
0.707,4.832930238571752,25.0,0.32404216090926313,0.32404216090926313,0.0,0
0.707,4.832930238571752,30.0,0.3808751208531207,0.3808751208531207,0.0,0
0.707,4.832930238571752,35.0,0.4331230075379072,0.4331230075379072,0.0,0
0.707,4.832930238571752,40.0,0.4810714843025369,0.4810714843025369,0.0,0
0.707,4.832930238571752,45.0,0.5238738629043058,0.5238738629043058,0.0,0
0.707,4.832930238571752,50.0,0.5618323018606903,0.5618323018606903,0.0,0
0.707,4.832930238571752,55.0,0.59478836783141,0.59478836783141,0.0,0
0.707,4.832930238571752,60.0,0.622671422566735,0.622671422566735,0.0,0
0.707,4.832930238571752,65.0,0.6454982631709326,0.6454982631709326,0.0,0
0.707,4.832930238571752,70.0,0.663972772982208,0.663972772982208,0.0,0
0.707,4.832930238571752,75.0,0.6776618744119114,0.6776618744119114,0.0,0
0.707,4.832930238571752,80.0,0.6871987542961895,0.6871987542961895,0.0,0
0.707,4.832930238571752,85.0,0.6927399688771495,0.6927399688771495,0.0,0
0.707,4.832930238571752,90.0,3.263686149548903,0.6947910154763594,2.5688951340725437,1
0.707,6.158482110660261,0.0,-0.0,-0.0,0.0,0
0.707,6.158482110660261,5.0,0.05892535988374116,0.05892535988374116,0.0,0
0.707,6.158482110660261,10.0,0.11705295801361067,0.11705295801361067,0.0,0
0.707,6.158482110660261,15.0,0.17381057514072518,0.17381057514072518,0.0,0
0.707,6.158482110660261,20.0,0.2287015398155075,0.2287015398155075,0.0,0
0.707,6.158482110660261,25.0,0.28084505035019386,0.28084505035019386,0.0,0
0.707,6.158482110660261,30.0,0.3299747685552453,0.3299747685552453,0.0,0
0.707,6.158482110660261,35.0,0.37554535114165477,0.37554535114165477,0.0,0
0.707,6.158482110660261,40.0,0.4174118495849656,0.4174118495849656,0.0,0
0.707,6.158482110660261,45.0,0.4548100340668908,0.4548100340668908,0.0,0
0.707,6.158482110660261,50.0,0.48812541330971493,0.48812541330971493,0.0,0
0.707,6.158482110660261,55.0,0.5171542999046642,0.5171542999046642,0.0,0
0.707,6.158482110660261,60.0,0.5418165698866173,0.5418165698866173,0.0,0
0.707,6.158482110660261,65.0,0.5620369882610875,0.5620369882610875,0.0,0
0.707,6.158482110660261,70.0,0.5785449271109456,0.5785449271109456,0.0,0
0.707,6.158482110660261,75.0,0.590831126572181,0.590831126572181,0.0,0
0.707,6.158482110660261,80.0,0.5994257587446761,0.5994257587446761,0.0,0
0.707,6.158482110660261,85.0,0.6044272123752608,0.6044272123752608,0.0,0
0.707,6.158482110660261,90.0,3.1781260744757187,0.6063045111985976,2.571821563277121,1
0.707,7.847599703514611,0.0,-0.0,-0.0,0.0,0
0.707,7.847599703514611,5.0,0.050328625598812786,0.050328625598812786,0.0,0
0.707,7.847599703514611,10.0,0.09996430691978136,0.09996430691978136,0.0,0
0.707,7.847599703514611,15.0,0.1484557374738419,0.1484557374738419,0.0,0
0.707,7.847599703514611,20.0,0.19540062546750722,0.19540062546750722,0.0,0
0.707,7.847599703514611,25.0,0.24003821351364976,0.24003821351364976,0.0,0
0.707,7.847599703514611,30.0,0.2821698460819231,0.2821698460819231,0.0,0
0.707,7.847599703514611,35.0,0.32132796623631804,0.32132796623631804,0.0,0
0.707,7.847599703514611,40.0,0.35742414260843564,0.35742414260843564,0.0,0
0.707,7.847599703514611,45.0,0.38971002609054056,0.38971002609054056,0.0,0
0.707,7.847599703514611,50.0,0.4185761349002131,0.4185761349002131,0.0,0
0.707,7.847599703514611,55.0,0.4438619105386566,0.4438619105386566,0.0,0
0.707,7.847599703514611,60.0,0.46540526302768537,0.46540526302768537,0.0,0
0.707,7.847599703514611,65.0,0.4831227872315855,0.4831227872315855,0.0,0
0.707,7.847599703514611,70.0,0.4976888603367208,0.4976888603367208,0.0,0
0.707,7.847599703514611,75.0,0.5085745162245685,0.5085745162245685,0.0,0
0.707,7.847599703514611,80.0,0.5162201869127279,0.5162201869127279,0.0,0
0.707,7.847599703514611,85.0,0.5206787598927045,0.5206787598927045,0.0,0
0.707,7.847599703514611,90.0,3.0972107417797643,0.5223807115259995,2.574830030253765,1
0.707,10.0,0.0,-0.0,-0.0,0.0,0
0.707,10.0,5.0,0.04237489969778792,0.04237489969778792,0.0,0
0.707,10.0,10.0,0.08415312047906638,0.08415312047906638,0.0,0
0.707,10.0,15.0,0.12499303364450301,0.12499303364450301,0.0,0
0.707,10.0,20.0,0.16457894489314537,0.16457894489314537,0.0,0
0.707,10.0,25.0,0.20225830320655921,0.20225830320655921,0.0,0
0.707,10.0,30.0,0.23789364672363833,0.23789364672363833,0.0,0
0.707,10.0,35.0,0.2710857846592845,0.2710857846592845,0.0,0
0.707,10.0,40.0,0.30179870013260096,0.30179870013260096,0.0,0
0.707,10.0,45.0,0.32929646766728426,0.32929646766728426,0.0,0
0.707,10.0,50.0,0.3539767149708328,0.3539767149708328,0.0,0
0.707,10.0,55.0,0.37572039018301395,0.37572039018301395,0.0,0
0.707,10.0,60.0,0.3942932003803694,0.3942932003803694,0.0,0
0.707,10.0,65.0,0.40960675692612614,0.40960675692612614,0.0,0
0.707,10.0,70.0,0.42229177281174596,0.42229177281174596,0.0,0
