MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.1778279410038923,1.0,45.0,0.17233306332870185,0.17233306332870185,0.0,0
0.1778279410038923,1.0,60.0,0.20771628240882428,0.20771628240882428,0.0,0
0.1778279410038923,1.0,75.0,0.22823074733260465,0.22823074733260465,0.0,0
0.1778279410038923,1.0,90.0,6.7220895526861355,0.23485774434939197,6.487231808336744,1
0.1778279410038923,3.1622776601683795,0.0,-0.0,-0.0,0.0,0
0.1778279410038923,3.1622776601683795,15.0,0.034985890727721305,0.034985890727721305,0.0,0
0.1778279410038923,3.1622776601683795,30.0,0.066989335868396,0.066989335868396,0.0,0
0.1778279410038923,3.1622776601683795,45.0,0.09368401295740077,0.09368401295740077,0.0,0
0.1778279410038923,3.1622776601683795,60.0,0.1133658605396003,0.1133658605396003,0.0,0
0.1778279410038923,3.1622776601683795,75.0,0.1249069319730032,0.1249069319730032,0.0,0
0.1778279410038923,3.1622776601683795,90.0,6.677811959818473,0.12874915112159907,6.549062808696874,1
0.1778279410038923,10.0,0.0,-0.0,-0.0,0.0,0
0.1778279410038923,10.0,15.0,0.01609004934324752,0.01609004934324752,0.0,0
0.1778279410038923,10.0,30.0,0.0307834347308883,0.0307834347308883,0.0,0
0.1778279410038923,10.0,45.0,0.04316625704992255,0.04316625704992255,0.0,0
0.1778279410038923,10.0,60.0,0.052477364561072395,0.052477364561072395,0.0,0
0.1778279410038923,10.0,75.0,0.05796678202399166,0.05796678202399166,0.0,0
0.1778279410038923,10.0,90.0,6.651589904056899,0.05988780825795022,6.591702095798949,1
0.31622776601683794,0.1,0.0,-0.0,-0.0,0.0,0
0.31622776601683794,0.1,15.0,0.2771012054780738,0.2771012054780738,0.0,0
0.31622776601683794,0.1,30.0,0.5267665151910097,0.5267665151910097,0.0,0
0.31622776601683794,0.1,45.0,0.7227645390286976,0.7227645390286976,0.0,0
0.31622776601683794,0.1,60.0,0.8517862949270552,0.8517862949270552,0.0,0
0.31622776601683794,0.1,75.0,1.8210497700073298,0.9199643204758878,0.901085449531442,1
0.31622776601683794,0.1,90.0,6.103791129014271,0.9413369496584911,5.162454179355779,1
0.31622776601683794,0.31622776601683794,0.0,-0.0,-0.0,0.0,0
0.31622776601683794,0.31622776601683794,15.0,0.20998299893116446,0.20998299893116446,0.0,0
0.31622776601683794,0.31622776601683794,30.0,0.3986691759959502,0.3986691759959502,0.0,0
0.31622776601683794,0.31622776601683794,45.0,0.5509217006127173,0.5509217006127173,0.0,0
0.31622776601683794,0.31622776601683794,60.0,0.6563965383731305,0.6563965383731305,0.0,0
0.31622776601683794,0.31622776601683794,75.0,0.7144570111853659,0.7144570111853659,0.0,0
0.31622776601683794,0.31622776601683794,90.0,5.874156074607417,0.732389654812772,5.141766419794646,1
0.31622776601683794,1.0,0.0,-0.0,-0.0,0.0,0
0.31622776601683794,1.0,15.0,0.13367098798856653,0.13367098798856653,0.0,0
0.31622776601683794,1.0,30.0,0.25521527205947,0.25521527205947,0.0,0
0.31622776601683794,1.0,45.0,0.35426435534839895,0.35426435534839895,0.0,0
0.31622776601683794,1.0,60.0,0.4248300077902004,0.4248300077902004,0.0,0
0.31622776601683794,1.0,75.0,0.46493262276010383,0.46493262276010383,0.0,0
0.31622776601683794,1.0,90.0,5.66197834010641,0.4775638574139021,5.184414482692508,1
0.31622776601683794,3.1622776601683795,0.0,-0.0,-0.0,0.0,0
0.31622776601683794,3.1622776601683795,15.0,0.07467033477341348,0.07467033477341348,0.0,0
0.31622776601683794,3.1622776601683795,30.0,0.142865494894705,0.142865494894705,0.0,0
0.31622776601683794,3.1622776601683795,45.0,0.19922893228803018,0.19922893228803018,0.0,0
