MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.556,10.0,50.0,0.2750125379096238,0.2750125379096238,0.0,0
0.556,10.0,55.0,0.29237062047370016,0.29237062047370016,0.0,0
0.556,10.0,60.0,0.30715430358708545,0.30715430358708545,0.0,0
0.556,10.0,65.0,0.31941649835938163,0.31941649835938163,0.0,0
0.556,10.0,70.0,0.32960870920005775,0.32960870920005775,0.0,0
0.556,10.0,75.0,0.3372867772230523,0.3372867772230523,0.0,0
0.556,10.0,80.0,0.3427143067651207,0.3427143067651207,0.0,0
0.556,10.0,85.0,0.3458160022819562,0.3458160022819562,0.0,0
0.556,10.0,90.0,4.14234715837691,0.3471341860154939,3.795212972361416,1
0.475,0.1,0.0,,,,
0.475,0.1,5.0,,,,
0.475,0.1,10.0,,,,
0.475,0.1,15.0,,,,
0.475,0.1,20.0,,,,
0.475,0.1,25.0,,,,
0.475,0.1,30.0,,,,
0.475,0.1,35.0,,,,
0.475,0.1,40.0,,,,
0.475,0.1,45.0,,,,
0.475,0.1,50.0,,,,
0.475,0.1,55.0,,,,
0.475,0.1,60.0,,,,
0.475,0.1,65.0,,,,
0.475,0.1,70.0,,,,
0.475,0.1,75.0,,,,
0.475,0.1,80.0,,,,
0.475,0.1,85.0,,,,
0.475,0.1,90.0,,,,
0.475,0.12742749857031338,0.0,,,,
0.475,0.12742749857031338,5.0,,,,
0.475,0.12742749857031338,10.0,,,,
0.475,0.12742749857031338,15.0,,,,
0.475,0.12742749857031338,20.0,,,,
0.475,0.12742749857031338,25.0,,,,
0.475,0.12742749857031338,30.0,,,,
0.475,0.12742749857031338,35.0,,,,
0.475,0.12742749857031338,40.0,,,,
0.475,0.12742749857031338,45.0,,,,
0.475,0.12742749857031338,50.0,,,,
0.475,0.12742749857031338,55.0,,,,
0.475,0.12742749857031338,60.0,,,,
0.475,0.12742749857031338,65.0,,,,
0.475,0.12742749857031338,70.0,,,,
0.475,0.12742749857031338,75.0,,,,
0.475,0.12742749857031338,80.0,,,,
0.475,0.12742749857031338,85.0,,,,
0.475,0.12742749857031338,90.0,,,,
0.475,0.16237767391887217,0.0,,,,
0.475,0.16237767391887217,5.0,,,,
0.475,0.16237767391887217,10.0,,,,
0.475,0.16237767391887217,15.0,,,,
0.475,0.16237767391887217,20.0,,,,
0.475,0.16237767391887217,25.0,,,,
0.475,0.16237767391887217,30.0,,,,
0.475,0.16237767391887217,35.0,,,,
0.475,0.16237767391887217,40.0,,,,
0.475,0.16237767391887217,45.0,,,,
0.475,0.16237767391887217,50.0,,,,
0.475,0.16237767391887217,55.0,,,,
0.475,0.16237767391887217,60.0,,,,
0.475,0.16237767391887217,65.0,,,,
0.475,0.16237767391887217,70.0,,,,
0.475,0.16237767391887217,75.0,,,,
0.475,0.16237767391887217,80.0,,,,
0.475,0.16237767391887217,85.0,,,,
0.475,0.16237767391887217,90.0,,,,
0.475,0.20691380811147897,0.0,-0.0,-0.0,0.0,0
0.475,0.20691380811147897,5.0,0.13738248296900285,0.13738248296900285,0.0,0
0.475,0.20691380811147897,10.0,0.27367165706865654,0.27367165706865654,0.0,0
0.475,0.20691380811147897,15.0,0.4065985788208351,0.4065985788208351,0.0,0
0.475,0.20691380811147897,20.0,0.5349394067446033,0.5349394067446033,0.0,0
0.475,0.20691380811147897,25.0,0.6568665534288803,0.6568665534288803,0.0,0
0.475,0.20691380811147897,30.0,0.7705737891274739,0.7705737891274739,0.0,0
0.475,0.20691380811147897,35.0,0.8752529551854528,0.8752529551854528,0.0,0
0.475,0.20691380811147897,40.0,0.9688939610066973,0.9688939610066973,0.0,0
0.475,0.20691380811147897,45.0,1.051182212508406,1.051182212508406,0.0,0
0.475,0.20691380811147897,50.0,1.1213083982906662,1.1213083982906662,0.0,0
0.475,0.20691380811147897,55.0,1.1795134137201764,1.1795134137201764,0.0,0
0.475,0.20691380811147897,60.0,1.2272560832622128,1.2272560832622128,0.0,0
0.475,0.20691380811147897,65.0,1.2652048689439273,1.2652048689439273,0.0,0
0.475,0.20691380811147897,70.0,1.5772243737666751,1.294087654823635,0.28313671894304004,1
0.475,0.20691380811147897,75.0,2.749000383649972,1.3156360841878245,1.4333642994621474,1
0.475,0.20691380811147897,80.0,5.719219686438951,1.3306445509990108,4.38857513543994,1
0.475,0.20691380811147897,85.0,5.712146846386026,1.3401077759282074,4.372039070457818,1
0.475,0.20691380811147897,90.0,5.710250678457967,1.3432249299201569,4.36702574853781,1
0.475,0.26366508987303583,0.0,-0.0,-0.0,0.0,0
0.475,0.26366508987303583,5.0,0.13261461949685224,0.13261461949685224,0.0,0
0.475,0.26366508987303583,10.0,0.26363875926014696,0.26363875926014696,0.0,0
0.475,0.26366508987303583,15.0,0.3914562217636714,0.3914562217636714,0.0,0
0.475,0.26366508987303583,20.0,0.5146925402313807,0.5146925402313807,0.0,0
0.475,0.26366508987303583,25.0,0.6316706072493283,0.6316706072493283,0.0,0
0.475,0.26366508987303583,30.0,0.7410102343348492,0.7410102343348492,0.0,0
0.475,0.26366508987303583,35.0,0.841295282740257,0.841295282740257,0.0,0
0.475,0.26366508987303583,40.0,0.9318804596609314,0.9318804596609314,0.0,0
0.475,0.26366508987303583,45.0,1.0113504385221594,1.0113504385221594,0.0,0
0.475,0.26366508987303583,50.0,1.080273082696293,1.080273082696293,0.0,0
